,name,length,probability,prediction,vfam,pfam,diamond,label,score_euk_non_euk,pred_euk_non_euk,score_non_euk_virus,pred_non_euk_virus,score_virus_non_virus,pred_virus_non_virus,hybrid_probability,hybrid_prediction,tax_id,rank,tax_name,top_label,non_euk_label,micromonas_label,annotation_label
136472,NODE_8162_length_2240_cov_39.8462_g5593_i0,2240,0.0371682357232,0.0,0.0,0.0,0.0,0.0,0.000165289264272,0.0,0.989796610755,1.0,0.000844811582985,0.0,0.00247861056582,False,41297,family,Sphingomonadaceae,Bacteria,True,False,with annotation
140097,NODE_10220_length_2086_cov_7.94387_g7661_i0,2086,0.00290702020096,0.0,0.0,0.0,0.0,0.0,0.00359766795992,0.0,0.98499890783,1.0,0.00070479946784,0.0,0.00323395940541,False,153232,genus,Oceanicaulis,Bacteria,True,False,with annotation
81563,NODE_20825_length_2062_cov_21.716_g12314_i2,2062,0.00473387203072,0.0,0.0,0.0,0.0,0.0,0.00728557830669,0.0,0.000727611038065,0.0,2.0261430581e-06,0.0,0.00587273321152,False,212695,species,uncultured Flavobacteriia bacterium,Bacteria,True,False,with annotation
24979,NODE_3040_length_3206_cov_860.737_g2210_i0,3206,0.883859629713,1.0,0.0,0.0,0.0,0.0,0.98105904366,1.0,0.546362371977,1.0,0.057450129098,0.0,0.93119196896,True,1456411,species,uncultured marine thaumarchaeote SAT1000_44_H06,Archaea,True,False,with annotation
204203,NODE_8132_length_2256_cov_10.6947_g6138_i0,2256,5.42718218908e-06,0.0,0.0,0.0,0.0,0.0,0.00370449972609,0.0,0.940929687405,1.0,0.00568290927233,0.0,0.000141792083463,False,2,superkingdom,Bacteria,Bacteria,True,False,with annotation
156698,NODE_3037_length_2609_cov_226.39_g2316_i1,2609,0.497315175367,0.0,0.0,0.0,0.0,0.0,0.99841178417,1.0,0.0201191549859,0.0,0.00248171879452,0.0,0.704645536091,True,1236,class,Gammaproteobacteria,Bacteria,True,False,with annotation
207037,NODE_11048_length_2026_cov_16.2253_g241_i5,2026,0.00902081230824,0.0,0.0,0.0,0.0,0.0,0.911792780046,1.0,0.543479428236,1.0,0.0141254013554,0.0,0.0906924006343,False,53246,genus,Pseudoalteromonas,Bacteria,True,False,with annotation
25087,NODE_3155_length_3142_cov_31.3213_g2296_i0,3142,1.4090374926e-12,0.0,0.0,0.0,0.0,0.0,0.0696684267406,0.0,0.97592260858,1.0,0.219878542902,0.0,3.13313621357e-07,False,72274,order,Pseudomonadales,Bacteria,True,False,with annotation
175575,NODE_4410_length_2830_cov_53.6353_g3320_i0,2830,0.00191212008664,0.0,0.0,0.0,0.0,0.0,0.0457100175769,0.0,0.981680081192,1.0,0.0138790474525,0.0,0.00934895944849,False,274854,species,uncultured marine group II euryarchaeote,Archaea,True,False,with annotation
162014,NODE_2105_length_2358_cov_39.4286_g1609_i0,2358,0.978686455408,1.0,0.0,0.0,0.0,0.0,3.34036620767e-05,0.0,0.922301630936,1.0,0.000240190542734,0.0,0.00571766662507,False,1822250,species,Oceanobacter sp. HI0075,Bacteria,True,False,with annotation
153316,NODE_524_length_2336_cov_91.5879_g358_i1,2336,0.0714423614982,0.0,0.0,0.0,0.0,0.0,0.934736602816,1.0,0.0333422948333,0.0,4.9953288443e-06,0.0,0.258417859839,False,28890,phylum,Euryarchaeota,Archaea,True,False,with annotation
3534,NODE_3547_length_2536_cov_13.8231_g2781_i0,2536,7.78004104308e-05,0.0,0.0,0.0,0.0,0.0,0.0212943412742,0.0,0.347013531392,0.0,0.00031877782601,0.0,0.00128713188562,False,187493,species,Thalassolituus oleivorans,Bacteria,True,False,with annotation
130767,NODE_2451_length_4142_cov_77.2877_g1631_i0,4142,0.874708995552,1.0,0.0,0.0,0.0,0.0,0.000342797964658,0.0,0.999927758157,1.0,0.0464129178699,0.0,0.0173161330367,False,80840,order,Burkholderiales,Bacteria,True,False,with annotation
180532,NODE_9648_length_2080_cov_152.753_g7405_i0,2080,0.111658553914,0.0,0.0,0.0,0.0,0.0,0.000237269642031,0.0,0.999989382984,1.0,0.32134085868,0.0,0.00514715310797,False,280463,no rank,Emiliania huxleyi CCMP1516,Eukaryota,False,False,with annotation
81473,NODE_20726_length_2067_cov_5.50596_g11944_i2,2067,0.386694679253,0.0,0.0,0.0,0.0,0.0,0.650474539603,1.0,0.621122693955,1.0,0.143230309177,0.0,0.501532694302,True,666509,no rank,Planktomarina temperata RCA23,Bacteria,True,False,with annotation
66146,NODE_8788_length_2932_cov_13.0574_g6492_i0,2932,0.986850851043,1.0,0.0,0.0,0.0,0.0,0.0403133552968,0.0,0.397064176192,0.0,0.00120469967597,0.0,0.19945743652,False,203691,phylum,Spirochaetes,Bacteria,True,False,with annotation
75725,NODE_4793_length_3155_cov_37.6_g3714_i0,3155,2.37029422284e-06,0.0,0.0,0.0,0.0,0.0,0.00540704984686,0.0,0.348184601379,0.0,6.80595811216e-05,0.0,0.000113209094222,False,1706432,no rank,unclassified Porticoccaceae,Bacteria,True,False,with annotation
97737,NODE_15160_length_2409_cov_13.3602_g10071_i1,2409,2.87550581117e-05,0.0,0.0,0.0,0.0,0.0,0.00405554316319,0.0,0.710534076256,1.0,0.000728757552315,0.0,0.00034149286864,False,1706432,no rank,unclassified Porticoccaceae,Bacteria,True,False,with annotation
177225,NODE_6157_length_2500_cov_11.4879_g4674_i0,2500,0.833221102937,1.0,0.0,0.0,0.0,0.0,0.999745921796,1.0,0.330904287827,0.0,0.0554678260159,0.0,0.912693486125,True,33154,no rank,Opisthokonta,Eukaryota,False,False,with annotation
128938,NODE_630_length_8400_cov_91.2715_g430_i0,8400,1.66285434858e-07,0.0,0.0,0.0,0.0,0.0,0.000321469118935,0.0,0.997592928947,1.0,0.00272127894454,0.0,7.31133587216e-06,False,1041,genus,Erythrobacter,Bacteria,True,False,with annotation
36776,NODE_8027_length_2063_cov_16.617_g6190_i0,2063,0.0481105090305,0.0,0.0,0.0,0.0,0.0,0.0199780939815,0.0,0.00130070450805,0.0,1.01674677221e-05,0.0,0.0310025203961,False,200644,order,Flavobacteriales,Bacteria,True,False,with annotation
77289,NODE_6395_length_2802_cov_14.2796_g4965_i0,2802,0.969750805657,1.0,0.0,0.0,0.0,0.0,0.999565790396,1.0,0.991438297432,1.0,0.88809579879,1.0,0.984545443615,True,2759,superkingdom,Eukaryota,Eukaryota,False,False,with annotation
138533,NODE_232_length_3460_cov_125.281_g132_i2,3460,3.36670034956e-07,0.0,0.0,0.0,0.0,0.0,0.00709727822649,0.0,0.998934115324,1.0,0.028803754435,0.0,4.8881907784e-05,False,1890424,order,Synechococcales,Bacteria,True,False,with annotation
118161,NODE_7839_length_2924_cov_59.801_g5751_i0,2924,0.493614386293,0.0,0.0,0.0,0.0,0.0,0.997902944126,1.0,0.00875538006503,0.0,0.0220252044831,0.0,0.70183990293,True,487796,species,Flavobacteria bacterium MS024-2A,Bacteria,True,False,with annotation
27108,NODE_5252_length_2387_cov_34.3178_g3856_i1,2387,0.190541098685,0.0,0.0,0.0,0.0,0.0,1.68088075805e-05,0.0,0.996943078631,1.0,0.0013654216675,0.0,0.00178962807979,False,31989,family,Rhodobacteraceae,Bacteria,True,False,with annotation
168746,NODE_1114_length_2927_cov_15.3865_g722_i1,2927,7.58645421019e-07,0.0,0.0,0.0,0.0,0.0,0.223393590062,0.0,0.981156168977,1.0,0.0774025431448,0.0,0.000411675265453,False,1129,genus,Synechococcus,Bacteria,True,False,with annotation
98286,NODE_15720_length_2364_cov_23.204_g10908_i0,2364,0.99987297473,1.0,0.0,0.0,0.0,0.0,0.00867357633911,0.0,0.996667242757,1.0,0.117199861,0.0,0.0931261218764,False,13792,order,Mamiellales,Eukaryota,False,False,with annotation
138070,NODE_9770_length_2028_cov_50.4638_g6776_i0,2028,0.775826344538,1.0,0.0,0.0,0.0,0.0,0.995556062069,1.0,0.454741348017,0.0,0.00766640347059,0.0,0.878850738418,True,1429438,species,Candidatus Entotheonella sp. TSY1,Bacteria,True,False,with annotation
173935,NODE_2685_length_3375_cov_18.9789_g2017_i0,3375,4.46721827641e-10,0.0,0.0,0.0,0.0,0.0,0.00167484257338,0.0,0.757340816887,1.0,0.262406754548,0.0,8.64979037544e-07,False,2759,superkingdom,Eukaryota,Eukaryota,False,False,with annotation
35609,NODE_6790_length_2190_cov_24.378_g5226_i0,2190,4.78077705737e-05,0.0,0.0,0.0,0.0,0.0,0.0201201961416,0.0,0.999873470275,1.0,0.0283033640711,0.0,0.000980765884926,False,70447,genus,Ostreococcus,Eukaryota,False,False,with annotation
91481,NODE_8772_length_3057_cov_43.3864_g5777_i1,3057,0.0938804026699,0.0,0.0,0.0,0.0,0.0,0.147921505827,0.0,0.0134821303775,0.0,0.000396646357961,0.0,0.117842821294,False,49546,family,Flavobacteriaceae,Bacteria,True,False,with annotation
202436,NODE_6329_length_2497_cov_10.4685_g4749_i0,2497,4.07543563564e-05,0.0,0.0,0.0,0.0,0.0,0.00445213741415,0.0,0.140782901659,0.0,0.000139915894871,0.0,0.000425962433466,False,2,superkingdom,Bacteria,Bacteria,True,False,with annotation
63184,NODE_5737_length_3546_cov_13.2919_g4198_i0,3546,0.855183824863,1.0,0.0,0.0,0.0,0.0,0.999110128677,1.0,0.665682247232,1.0,0.187025233223,0.0,0.92434994526,True,1853232,family,Hymenobacteraceae,Bacteria,True,False,with annotation
180736,NODE_9871_length_2059_cov_21.1697_g3811_i1,2059,0.290026707906,0.0,0.0,0.0,0.0,0.0,0.844904521405,1.0,0.849849141793,1.0,0.347890061373,0.0,0.495020077207,False,53246,genus,Pseudoalteromonas,Bacteria,True,False,with annotation
61035,NODE_3538_length_4359_cov_11.7888_g2597_i0,4359,0.956716405258,1.0,0.0,0.0,0.0,0.0,0.00334554681621,0.0,0.996846297394,1.0,0.0093714730087,0.0,0.0565750786445,False,2759,superkingdom,Eukaryota,Eukaryota,False,False,with annotation
195966,NODE_3207_length_2052_cov_77.1422_g2195_i1,2052,5.53030177332e-08,0.0,0.0,0.0,0.0,0.0,0.999993942487,1.0,0.0119889968269,0.0,0.000925897357042,0.0,0.000235165224331,False,1236,class,Gammaproteobacteria,Bacteria,True,False,with annotation
171155,NODE_3532_length_2033_cov_8.5273_g2558_i0,2033,0.00342761053702,0.0,0.0,0.0,0.0,0.0,0.545289225865,1.0,0.418392154182,0.0,0.000805606447784,0.0,0.0432323848093,False,28211,class,Alphaproteobacteria,Bacteria,True,False,with annotation
