,name,length,probability,prediction,vfam,pfam,diamond,label,score_euk_non_euk,pred_euk_non_euk,score_non_euk_virus,pred_non_euk_virus,score_virus_non_virus,pred_virus_non_virus,hybrid_probability,hybrid_prediction,tax_id,rank,tax_name,top_label,non_euk_label,micromonas_label,annotation_label
201685,NODE_5558_length_2626_cov_18.6752_g4131_i1,2626,0.999999035878,1.0,0.0,0.0,0.0,0.0,0.966535704685,1.0,0.401791313485,0.0,0.00483695746355,0.0,0.983125003663,True,1,no rank,root,N/A,True,False,no annotation
93762,NODE_11080_length_2775_cov_120.457_g664_i5,2775,0.177889194357,0.0,0.0,0.0,0.0,0.0,0.988045484886,1.0,0.0199788126451,0.0,0.000223056878656,0.0,0.419240522009,False,1,no rank,root,N/A,True,False,no annotation
154944,NODE_1255_length_3461_cov_17.7557_g953_i0,3461,0.99999999891,1.0,0.0,0.0,0.0,0.0,0.000188658260224,0.0,0.150069274006,0.0,4.88346594716e-07,0.0,0.0137352924985,False,1,no rank,root,N/A,True,False,no annotation
150797,NODE_9944_length_2119_cov_26.829_g6993_i1,2119,0.998423609166,1.0,0.0,0.0,0.0,0.0,0.99337719999,1.0,0.66351539302,1.0,0.148894503827,0.0,0.995897208188,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
125481,NODE_66_length_2802_cov_639.544_g41_i1,2802,0.307641869998,0.0,0.0,0.0,0.0,0.0,0.999910583751,1.0,0.620537122876,1.0,0.0391241758226,0.0,0.554629932312,True,1,no rank,root,N/A,True,False,no annotation
112164,NODE_1567_length_5416_cov_16.9778_g1134_i0,5416,0.999999982647,1.0,0.0,0.0,0.0,0.0,0.999587942633,1.0,0.0256016554838,0.0,0.00731984144648,0.0,0.999793941414,True,1,no rank,root,N/A,True,False,no annotation
68447,NODE_11181_length_2189_cov_101.736_g8784_i0,2189,0.0347789510614,0.0,0.0,0.0,0.0,0.0,0.925696132607,1.0,0.00194423377204,0.0,4.37762548903e-05,0.0,0.179428928809,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
16185,NODE_1206_length_2619_cov_126.094_g750_i0,2619,0.999999999643,1.0,0.0,0.0,0.0,0.0,0.137803217152,0.0,0.862588907112,1.0,0.0496343003228,0.0,0.371218557056,False,1,no rank,root,N/A,True,False,no annotation
46060,NODE_3655_length_2607_cov_51.4032_g2247_i0,2607,0.997881667939,1.0,0.0,0.0,0.0,0.0,0.000959417614103,0.0,0.864735429746,1.0,0.00832330752639,0.0,0.030941642636,False,1,no rank,root,N/A,True,False,no annotation
58713,NODE_1189_length_6724_cov_425.639_g34_i1,6724,0.0846659911702,0.0,0.0,0.0,0.0,0.0,0.0466649589975,0.0,0.879032898667,1.0,0.00233940892846,0.0,0.0628564635216,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
149692,NODE_8834_length_2272_cov_21.3545_g6596_i0,2272,0.180180960426,0.0,0.0,0.0,0.0,0.0,0.962711143521,1.0,0.88200307814,1.0,0.0248521950701,0.0,0.416487957152,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
132029,NODE_3714_length_3371_cov_59.6179_g2502_i0,3371,0.000196187629817,0.0,0.0,0.0,0.0,0.0,0.0118900589887,0.0,0.997967396217,1.0,0.126151694276,0.0,0.00152731217876,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
139497,NODE_1178_length_2177_cov_72.2696_g161_i3,2177,0.831715974877,1.0,0.0,0.0,0.0,0.0,0.69151298018,1.0,0.588711116469,1.0,0.090026588831,0.0,0.758381429395,True,1,no rank,root,N/A,True,False,no annotation
112691,NODE_2113_length_4894_cov_121.866_g1521_i0,4894,0.0287981700427,0.0,0.0,0.0,0.0,0.0,0.902981511071,1.0,0.840687187329,1.0,0.0199223634983,0.0,0.16125822491,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
137512,NODE_9209_length_2094_cov_31.9063_g6363_i0,2094,0.371806712054,0.0,0.0,0.0,0.0,0.0,0.961258498023,1.0,0.710889492683,1.0,0.0939377545664,0.0,0.597831382234,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
118114,NODE_7793_length_2931_cov_57.096_g5723_i0,2931,0.14991648983,0.0,0.0,0.0,0.0,0.0,0.608062763614,1.0,0.095941071681,0.0,0.00146309695506,0.0,0.301924883236,False,1,no rank,root,N/A,True,False,no annotation
1193,NODE_1196_length_4850_cov_396.699_g869_i0,4850,1.3115315048e-05,0.0,0.0,0.0,0.0,0.0,0.00147184825539,0.0,0.784277442536,1.0,0.000435573982929,0.0,0.00013893794864,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
120199,NODE_18_length_11200_cov_57.2428_g11_i0,11200,0.00760864626378,0.0,0.0,0.0,0.0,0.0,0.999437763684,1.0,0.124256235217,0.0,0.0118394822184,0.0,0.0872030298013,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
125472,NODE_58_length_2876_cov_529.578_g41_i0,2876,0.999971511783,1.0,0.0,0.0,0.0,0.0,0.999420089277,1.0,0.688144848504,1.0,0.0972072356093,0.0,0.99969576251,True,1,no rank,root,N/A,True,False,no annotation
97652,NODE_15072_length_2415_cov_11.5373_g10468_i0,2415,0.989094236967,1.0,0.0,0.0,0.0,0.0,0.997887517614,1.0,0.21615872111,0.0,0.000423190560462,0.0,0.993481148695,True,1,no rank,root,N/A,True,False,no annotation
172658,NODE_1363_length_4322_cov_46.5993_g1019_i0,4322,0.00371613803217,0.0,0.0,0.0,0.0,0.0,0.997534011606,1.0,0.203348940388,0.0,0.00905636313978,0.0,0.0608849248904,False,1,no rank,root,N/A,True,False,no annotation
15395,NODE_414_length_4036_cov_532.328_g179_i3,4036,2.3109123032e-12,0.0,0.0,0.0,0.0,0.0,0.565263213179,1.0,0.685104992672,1.0,0.198780710151,0.0,1.14292331934e-06,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
155036,NODE_1349_length_3390_cov_132.131_g1023_i0,3390,1.31517233366e-07,0.0,0.0,0.0,0.0,0.0,0.176525950353,0.0,0.938364293669,1.0,0.00540267362718,0.0,0.000152368647063,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
58990,NODE_1472_length_6204_cov_14.355_g1079_i0,6204,0.783100749648,1.0,0.0,0.0,0.0,0.0,0.419046200136,0.0,0.902357070147,1.0,0.252067710164,0.0,0.572848490845,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
143778,NODE_2912_length_4174_cov_199.113_g2111_i0,4174,0.582938780856,1.0,0.0,0.0,0.0,0.0,0.121901300723,0.0,0.907321505335,1.0,0.0787111754097,0.0,0.266572683575,False,1,no rank,root,N/A,True,False,no annotation
89879,NODE_7152_length_3339_cov_39.4586_g4928_i0,3339,4.86991314301e-05,0.0,0.0,0.0,0.0,0.0,0.0136466313155,0.0,0.990052879902,1.0,0.0424114545394,0.0,0.000815217205419,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
120381,NODE_199_length_4737_cov_22.9453_g152_i0,4737,5.54744420576e-09,0.0,0.0,0.0,0.0,0.0,0.836472895792,1.0,0.748073000754,1.0,0.0182837495074,0.0,6.81196500214e-05,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
8117,NODE_1351_length_2572_cov_16.0381_g1023_i0,2572,0.000105968057224,0.0,0.0,0.0,0.0,0.0,0.260609150504,0.0,0.960016214469,1.0,0.00346916342906,0.0,0.0052551161142,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
37528,NODE_156_length_3883_cov_106.155_g97_i0,3883,0.00783159776461,0.0,0.0,0.0,0.0,0.0,0.0357507536752,0.0,0.726536344442,1.0,0.000441338609131,0.0,0.016732767929,False,1,no rank,root,N/A,True,False,no annotation
43572,NODE_1172_length_4484_cov_68.7918_g698_i0,4484,0.055654760334,0.0,0.0,0.0,0.0,0.0,0.000741146232457,0.0,0.949727161388,1.0,0.00109060292936,0.0,0.00642248518409,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
136369,NODE_8061_length_2257_cov_133.53_g5520_i0,2257,0.989122346986,1.0,0.0,0.0,0.0,0.0,0.753108573268,1.0,0.000503046508597,0.0,0.000236147429613,0.0,0.863085464787,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
11366,NODE_1710_length_2947_cov_22.4703_g1254_i0,2947,0.496810150907,0.0,0.0,0.0,0.0,0.0,0.994456728992,1.0,0.00022044656856,0.0,5.12662026821e-06,0.0,0.702891312794,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
154732,NODE_1040_length_3666_cov_98.9828_g782_i0,3666,1.55117297021e-05,0.0,0.0,0.0,0.0,0.0,0.749870817202,1.0,0.929725896065,1.0,0.729604687082,1.0,0.00341054151535,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
76398,NODE_5480_length_2982_cov_9.25316_g4252_i0,2982,0.99742375337,1.0,0.0,0.0,0.0,0.0,0.000305071496221,0.0,0.546911391546,1.0,0.000127743082888,0.0,0.0174437827551,False,1,no rank,root,N/A,True,False,no annotation
127633,NODE_1948_length_2237_cov_158.705_g1455_i1,2237,0.000452221607292,0.0,0.0,0.0,0.0,0.0,0.954528159572,1.0,0.098781803355,0.0,0.000272738398317,0.0,0.0207763870422,False,1,no rank,root,N/A,True,False,no annotation
150335,NODE_9480_length_2181_cov_8.627_g7085_i0,2181,0.400261000549,0.0,0.0,0.0,0.0,0.0,0.889694770303,1.0,0.167749775668,0.0,0.0104108830073,0.0,0.596749628357,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
105559,NODE_13388_length_2325_cov_11.9564_g9929_i0,2325,0.211786155703,0.0,0.0,0.0,0.0,0.0,0.0019654675139,0.0,0.00630884870758,0.0,9.08955469697e-06,0.0,0.0204024216437,False,1,no rank,root,N/A,True,False,no annotation
207001,NODE_11010_length_2029_cov_15.8637_g1790_i2,2029,0.948208270856,1.0,0.0,0.0,0.0,0.0,0.714813833166,1.0,0.861286042232,1.0,0.0163040442829,0.0,0.823281476003,True,1,no rank,root,N/A,True,False,no annotation
127679,NODE_1992_length_2222_cov_86.3489_g1493_i0,2222,0.921158118323,1.0,0.0,0.0,0.0,0.0,0.999764128271,1.0,0.859446441473,1.0,0.470858779794,0.0,0.95965662774,True,1,no rank,root,N/A,True,False,no annotation
75888,NODE_4958_length_3109_cov_64.5092_g3842_i0,3109,8.90150719135e-06,0.0,0.0,0.0,0.0,0.0,0.99760365313,1.0,0.585390315432,1.0,0.366961971982,0.0,0.00297996243138,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
104080,NODE_11807_length_2461_cov_21.4023_g8748_i0,2461,0.999882609215,1.0,0.0,0.0,0.0,0.0,1.48005224977e-05,0.0,0.00790919954103,0.0,3.96107305706e-08,0.0,0.00384691890384,False,1,no rank,root,N/A,True,False,no annotation
202120,NODE_6006_length_2548_cov_13.0862_g4501_i0,2548,0.895945654385,1.0,0.0,0.0,0.0,0.0,0.995257245778,1.0,0.419102773991,0.0,0.121636988682,0.0,0.944296777687,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
120600,NODE_434_length_3499_cov_20.6882_g330_i0,3499,2.52995737087e-05,0.0,0.0,0.0,0.0,0.0,0.0190769788656,0.0,0.987012645326,1.0,0.0614819345316,0.0,0.000694722558256,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
147120,NODE_6250_length_2788_cov_20.1292_g4582_i0,2788,7.2223057641e-06,0.0,0.0,0.0,0.0,0.0,0.0523513268435,0.0,0.0551764333957,0.0,0.000255252092335,0.0,0.000614896161657,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
12704,NODE_3080_length_2452_cov_38.884_g2306_i0,2452,0.966619968183,1.0,0.0,0.0,0.0,0.0,0.596181416811,1.0,0.0897540535849,0.0,0.000590822861566,0.0,0.759131650077,True,1,no rank,root,N/A,True,False,no annotation
11587,NODE_1937_length_2833_cov_52.3539_g1425_i0,2833,0.999336104439,1.0,0.0,0.0,0.0,0.0,0.0263084496672,0.0,0.0398149108766,0.0,2.28255464241e-05,0.0,0.16214494628,False,1,no rank,root,N/A,True,False,no annotation
63255,NODE_5805_length_3530_cov_10.8763_g4249_i0,3530,7.65148967182e-08,0.0,0.0,0.0,0.0,0.0,0.565859412673,1.0,0.17286677324,0.0,0.00350405375587,0.0,0.000208078529689,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
44494,NODE_2097_length_3436_cov_30.1026_g1227_i0,3436,2.91816442373e-05,0.0,0.0,0.0,0.0,0.0,0.131031878334,0.0,0.773198803498,1.0,0.00207855847249,0.0,0.00195543490234,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
106959,NODE_14893_length_2218_cov_121.683_g11096_i0,2218,0.0157613458871,0.0,0.0,0.0,0.0,0.0,0.998011613571,1.0,0.095633958613,0.0,0.0288148586415,0.0,0.125419321641,False,1,no rank,root,N/A,True,False,no annotation
157265,NODE_3628_length_2467_cov_10.3735_g2760_i0,2467,0.000837322658973,0.0,0.0,0.0,0.0,0.0,0.00691467446165,0.0,0.270184960722,0.0,0.000107561956126,0.0,0.00240620315147,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
52368,NODE_13846_length_2369_cov_8.82368_g10357_i0,2369,0.999972259985,1.0,0.0,0.0,0.0,0.0,0.90285681034,1.0,0.259180793484,0.0,0.0215483137045,0.0,0.950174597155,True,1,no rank,root,N/A,True,False,no annotation
176891,NODE_5798_length_2559_cov_15.3994_g4385_i0,2559,7.16152795082e-08,0.0,0.0,0.0,0.0,0.0,0.999827509662,1.0,0.866629788913,1.0,0.160851713937,0.0,0.000267587231692,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
138615,NODE_311_length_3186_cov_58.9546_g190_i0,3186,0.0110984550587,0.0,0.0,0.0,0.0,0.0,0.0685406504462,0.0,0.963299954381,1.0,0.00158548616494,0.0,0.0275807057319,False,1,no rank,root,N/A,True,False,no annotation
61446,NODE_3963_length_4165_cov_18.7951_g2894_i0,4165,0.784312598068,1.0,0.0,0.0,0.0,0.0,0.396872774648,0.0,0.885973613982,1.0,0.134004183415,0.0,0.557917840714,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
25565,NODE_3650_length_2914_cov_48.1668_g2663_i0,2914,3.8155433136e-13,0.0,0.0,0.0,0.0,0.0,0.672977232272,1.0,0.343287940317,0.0,0.000968560521827,0.0,5.06732057285e-07,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
144492,NODE_3626_length_3727_cov_26.6925_g2627_i0,3727,0.998844937912,1.0,0.0,0.0,0.0,0.0,0.00350864639316,0.0,0.233974574315,0.0,2.98403818686e-05,0.0,0.0591996088562,False,-2,-2,-2,N/A,True,False,no annotation
93453,NODE_10766_length_2813_cov_14.1313_g5910_i1,2813,0.994912588128,1.0,0.0,0.0,0.0,0.0,0.629678307539,1.0,0.282517221945,0.0,0.000659541811656,0.0,0.791501658016,True,1,no rank,root,N/A,True,False,no annotation
31641,NODE_2549_length_3070_cov_20.0474_g1967_i0,3070,0.00120389396779,0.0,0.0,0.0,0.0,0.0,0.792221412124,1.0,0.452581161813,0.0,0.00137080358309,0.0,0.0308828525109,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
158128,NODE_4513_length_2269_cov_26.4011_g2814_i1,2269,0.269993535348,0.0,0.0,0.0,0.0,0.0,0.982006164154,1.0,0.324909151572,0.0,0.116946259141,0.0,0.514912920787,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
184336,NODE_1413_length_4567_cov_77.3371_g993_i2,4567,0.000701647265761,0.0,0.0,0.0,0.0,0.0,0.00306624836543,0.0,0.968728284916,1.0,0.000577583488946,0.0,0.00146677359594,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
48780,NODE_10104_length_2746_cov_13.7038_g7513_i0,2746,0.99988272872,1.0,0.0,0.0,0.0,0.0,0.000333181555645,0.0,0.993894945845,1.0,0.000254972130536,0.0,0.018252191184,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
158060,NODE_4444_length_2281_cov_9.63612_g3383_i0,2281,0.999998520775,1.0,0.0,0.0,0.0,0.0,0.997752126222,1.0,0.0262114956847,0.0,0.00591023113998,0.0,0.998874692002,True,1,no rank,root,N/A,True,False,no annotation
42646,NODE_258_length_8768_cov_137.189_g157_i0,8768,4.03994129705e-05,0.0,0.0,0.0,0.0,0.0,0.946677283199,1.0,0.989726005429,1.0,0.611300682169,1.0,0.00618427089589,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
184470,NODE_1547_length_4428_cov_54.4235_g1091_i0,4428,0.159257440827,0.0,0.0,0.0,0.0,0.0,0.182298612034,0.0,0.956928659226,1.0,0.00398725950669,0.0,0.170388997353,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
51690,NODE_13138_length_2428_cov_14.7282_g9800_i0,2428,0.0252577039246,0.0,0.0,0.0,0.0,0.0,0.988896727953,1.0,0.0336471100566,0.0,7.01299382372e-05,0.0,0.15804195888,False,1,no rank,root,N/A,True,False,no annotation
73504,NODE_2527_length_4013_cov_66.091_g1931_i0,4013,0.999908623422,1.0,0.0,0.0,0.0,0.0,0.990699864301,1.0,0.20873613179,0.0,0.00272511889371,0.0,0.995293593638,True,1,no rank,root,N/A,True,False,no annotation
178155,NODE_7138_length_2355_cov_6.85696_g5443_i0,2355,0.886229161327,1.0,0.0,0.0,0.0,0.0,0.999966745225,1.0,0.169279363865,0.0,0.0365788179284,0.0,0.941381798196,True,1,no rank,root,N/A,True,False,no annotation
60258,NODE_2751_length_4823_cov_38.4836_g290_i3,4823,0.996353078997,1.0,0.0,0.0,0.0,0.0,0.973088812197,1.0,0.0368507172407,0.0,0.00102819033465,0.0,0.98465224022,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
34974,NODE_6121_length_2270_cov_21.0009_g4701_i0,2270,0.0348960932027,0.0,0.0,0.0,0.0,0.0,0.114604453876,0.0,0.0455321869501,0.0,1.85132801729e-05,0.0,0.0632396055008,False,1,no rank,root,N/A,True,False,no annotation
154861,NODE_1171_length_3538_cov_17.7918_g887_i0,3538,6.17228941758e-11,0.0,0.0,0.0,0.0,0.0,0.0123659647309,0.0,0.9014734679,1.0,0.00264987332393,0.0,8.7364931893e-07,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
35465,NODE_6638_length_2206_cov_13.6806_g5108_i0,2206,0.65095152014,1.0,0.0,0.0,0.0,0.0,0.118029131266,0.0,0.745817988187,1.0,0.0204628176033,0.0,0.277184491663,False,1,no rank,root,N/A,True,False,no annotation
28211,NODE_6419_length_2165_cov_27.5886_g4747_i1,2165,0.998512528465,1.0,0.0,0.0,0.0,0.0,0.635242917723,1.0,0.921596362521,1.0,0.043592774488,0.0,0.796428284257,True,1,no rank,root,N/A,True,False,no annotation
138341,NODE_40_length_5883_cov_217.099_g25_i0,5883,0.000550195084744,0.0,0.0,0.0,0.0,0.0,0.14611419473,0.0,0.924672604805,1.0,0.00571308057054,0.0,0.00896612021734,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
170566,NODE_2946_length_2153_cov_10.9109_g2134_i0,2153,0.716677177346,1.0,0.0,0.0,0.0,0.0,0.452433174333,0.0,0.831156554135,1.0,0.109752340572,0.0,0.569428248613,True,1,no rank,root,N/A,True,False,no annotation
31489,NODE_2387_length_3133_cov_35.5673_g1839_i0,3133,0.667502721159,1.0,0.0,0.0,0.0,0.0,0.953009578375,1.0,0.917258139703,1.0,0.506511033053,1.0,0.797581649022,True,1,no rank,root,N/A,True,False,no annotation
195424,NODE_2643_length_2185_cov_84.9052_g99_i3,2185,0.000232261196148,0.0,0.0,0.0,0.0,0.0,0.999384845992,1.0,0.149605433382,0.0,0.0279084374364,0.0,0.0152354297525,False,1,no rank,root,N/A,True,False,no annotation
61358,NODE_3870_length_4203_cov_31.5246_g2783_i1,4203,0.744892964142,1.0,0.0,0.0,0.0,0.0,0.70884123268,1.0,0.356361342545,0.0,0.0239238269675,0.0,0.726643548734,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
39353,NODE_276_length_3996_cov_89.6267_g190_i0,3996,0.0131254403276,0.0,0.0,0.0,0.0,0.0,0.99808953952,1.0,0.926155118558,1.0,0.153375317527,0.0,0.114456824578,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
107953,NODE_15949_length_2154_cov_5.5898_g11938_i0,2154,0.261323364931,0.0,0.0,0.0,0.0,0.0,0.790086647022,1.0,0.788259550037,1.0,0.197525222108,0.0,0.454387611172,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
193420,NODE_575_length_3434_cov_15.6564_g437_i0,3434,1.4604658759e-09,0.0,0.0,0.0,0.0,0.0,0.772176276599,1.0,0.0117424372379,0.0,1.73436355959e-05,0.0,3.35817971847e-05,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
181078,NODE_10230_length_2027_cov_95.7789_g7882_i0,2027,0.931324199353,1.0,0.0,0.0,0.0,0.0,0.000479309600313,0.0,0.999940070464,1.0,0.102684143434,0.0,0.0211280058158,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
4650,NODE_4682_length_2157_cov_9.03378_g3691_i0,2157,0.981540244701,1.0,0.0,0.0,0.0,0.0,0.948270553456,1.0,0.98333501005,1.0,0.616907957381,1.0,0.964761997117,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
78944,NODE_8099_length_2535_cov_197.487_g6305_i0,2535,0.000651030446417,0.0,0.0,0.0,0.0,0.0,0.138281405961,0.0,0.984562684288,1.0,0.0973681411099,0.0,0.00948817187102,False,1,no rank,root,N/A,True,False,no annotation
151433,NODE_553_length_3056_cov_28.8536_g398_i0,3056,0.991065949627,1.0,0.0,0.0,0.0,0.0,0.0169070599499,0.0,0.386024804142,0.0,0.000183760598659,0.0,0.129445013132,False,1,no rank,root,N/A,True,False,no annotation
26292,NODE_4410_length_2621_cov_83.8936_g3271_i0,2621,0.35408086153,0.0,0.0,0.0,0.0,0.0,0.00122841883272,0.0,0.992199848134,1.0,0.00315657716866,0.0,0.0208556850429,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
81818,NODE_21088_length_2048_cov_140.183_g14638_i1,2048,0.808615957823,1.0,0.0,0.0,0.0,0.0,0.99888096733,1.0,0.0249766750409,0.0,0.00385441277081,0.0,0.898727483806,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
125780,NODE_110_length_9470_cov_693.507_g29_i10,9470,0.000111845412921,0.0,0.0,0.0,0.0,0.0,0.0500717881633,0.0,0.993684193434,1.0,0.0229926411265,0.0,0.00236649526152,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
200017,NODE_3866_length_3006_cov_19.0346_g2893_i0,3006,0.999942639293,1.0,0.0,0.0,0.0,0.0,0.00382686013474,0.0,0.637255451738,1.0,0.000142306772302,0.0,0.0618598466159,False,1,no rank,root,N/A,True,False,no annotation
36180,NODE_7392_length_2130_cov_7.62265_g5697_i0,2130,0.738886290077,1.0,0.0,0.0,0.0,0.0,0.999051821088,1.0,0.23467324716,0.0,0.0131486523155,0.0,0.859177335408,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
98067,NODE_15497_length_2382_cov_10.9016_g10757_i0,2382,0.996185023533,1.0,0.0,0.0,0.0,0.0,0.901747279723,1.0,0.289949240295,0.0,0.00168709745613,0.0,0.947790659941,True,1,no rank,root,N/A,True,False,no annotation
153094,NODE_302_length_2803_cov_41.4574_g204_i0,2803,5.38227660684e-05,0.0,0.0,0.0,0.0,0.0,0.010828242858,0.0,0.930114910014,1.0,0.000782233480732,0.0,0.000763417305461,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
167658,NODE_31_length_8154_cov_25.626_g21_i0,8154,0.629028434878,1.0,0.0,0.0,0.0,0.0,0.821033711714,1.0,0.766485947284,1.0,0.0954886507187,0.0,0.718647027867,True,1,no rank,root,N/A,True,False,no annotation
34649,NODE_5772_length_2319_cov_7.01767_g4442_i0,2319,0.00018805527723,0.0,0.0,0.0,0.0,0.0,0.812121567655,1.0,0.997176072998,1.0,0.0739414738591,0.0,0.0123581449478,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
60949,NODE_3453_length_4402_cov_30.0246_g586_i2,4402,0.000366931759942,0.0,0.0,0.0,0.0,0.0,0.998697717847,1.0,0.325265607811,0.0,0.0220927386863,0.0,0.0191429859546,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
127680,NODE_1992_length_2222_cov_86.3489_g1493_i0,2222,0.921158118323,1.0,0.0,0.0,0.0,0.0,0.999764128271,1.0,0.859446441473,1.0,0.470858779794,0.0,0.95965662774,True,1,no rank,root,N/A,True,False,no annotation
42458,NODE_74_length_14070_cov_322.409_g44_i0,14070,0.00332994895994,0.0,0.0,0.0,0.0,0.0,0.488034807376,0.0,0.502820797766,1.0,0.00221007612666,0.0,0.0403129135543,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
189962,NODE_7057_length_2482_cov_80.4425_g5059_i1,2482,0.152034123846,0.0,0.0,0.0,0.0,0.0,0.90784184122,1.0,0.944600184522,1.0,0.00333501217063,0.0,0.371514385886,False,131567,no rank,cellular organisms,N/A,True,False,no annotation
35941,NODE_7142_length_2154_cov_49.0653_g5487_i0,2154,0.450570477625,0.0,0.0,0.0,0.0,0.0,0.015564673897,0.0,0.936751482501,1.0,2.90218266238e-05,0.0,0.0837435523002,False,-2,-2,-2,N/A,True,False,no annotation
185370,NODE_2443_length_3746_cov_51.9474_g1693_i0,3746,0.261602531418,0.0,0.0,0.0,0.0,0.0,0.964590772556,1.0,0.137559185151,0.0,0.00224584167499,0.0,0.502333940604,True,131567,no rank,cellular organisms,N/A,True,False,no annotation
169446,NODE_1821_length_2530_cov_75.7188_g1298_i0,2530,0.000962828704806,0.0,0.0,0.0,0.0,0.0,0.999911546354,1.0,0.473930730723,0.0,0.199462336469,0.0,0.0310281088547,False,1,no rank,root,N/A,True,False,no annotation
