,name,length,probability,prediction,vfam,pfam,diamond,label,score_euk_non_euk,pred_euk_non_euk,score_non_euk_virus,pred_non_euk_virus,score_virus_non_virus,pred_virus_non_virus,hybrid_probability,hybrid_prediction,tax_id,rank,tax_name,top_label,Class_x,Class_id_x,Prob_class_0_x,Prob_class_1_300k_full,Prob_class_2_x,Prob_class_3_x,Class_y,Class_id_y,Prob_class_0_y,Prob_class_1_3M_train,Prob_class_2_y,Prob_class_3_y,Class,Class_id,Prob_class_0,Prob_class_1_1M_combined,Prob_class_2,Prob_class_3,non_euk_label,micromonas_label,annotation_label,category
3721,NODE_3739_length_2457_cov_14.4513_g2941_i0,2457,0.878066906771,1.0,0.0,0.0,0.0,0.0,0.981428489945,1.0,0.586138974695,1.0,0.0902127115005,0.0,0.928310227447,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,4.70056e-06,0.999202,5.57914e-05,0.00073745,1.0,1.0,7.27143e-05,0.99739,0.000921949,0.00161508,1.0,1.0,5.44712e-05,0.999128,9.7233e-05,0.000720504,False,True,with annotation,nonvirus
9072,NODE_2332_length_2131_cov_18.6869_g1785_i0,2131,0.762763772238,1.0,0.0,0.0,0.0,0.0,0.999923759722,1.0,0.0225782349696,0.0,0.00896535636763,0.0,0.873330188941,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.00267528,0.872546,0.0171234,0.107655,3.0,3.0,0.00374282,0.404486,0.0365569,0.555215,1.0,1.0,0.00202094,0.950209,0.0105288,0.0372411,False,True,with annotation,nonvirus
13277,NODE_3667_length_2300_cov_11.6312_g2759_i0,2300,0.614811043955,1.0,0.0,0.0,0.0,0.0,0.999986463288,1.0,0.348038115011,0.0,0.323095194361,0.0,0.78409356676,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.00605861,0.839897,0.111754,0.0422907,1.0,1.0,0.00295368,0.914259,0.0491516,0.0336361,1.0,1.0,0.00830889,0.940861,0.0229259,0.0279039,False,True,with annotation,nonvirus
14643,NODE_5062_length_2049_cov_9.42327_g3806_i0,2049,0.613411924099,1.0,0.0,0.0,0.0,0.0,0.680650365819,1.0,0.609579681125,1.0,0.0382627709342,0.0,0.646157140745,True,296587,species,Micromonas commoda,Eukaryota,2.0,2.0,0.0187339,0.305791,0.600172,0.0753028,2.0,2.0,0.00930493,0.0365865,0.492984,0.461125,2.0,2.0,0.00543441,0.0767933,0.832442,0.0853302,False,True,with annotation,nonvirus
17157,NODE_11_length_14683_cov_43.3343_g7_i0,14683,0.740984076233,1.0,0.0,0.0,0.0,0.0,0.99217478504,1.0,0.403753846635,0.0,0.0199890829124,0.0,0.857429715227,True,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,0.0130879,0.877639,0.0533809,0.0558919,3.0,3.0,0.0122189,0.408301,0.137446,0.442034,1.0,1.0,0.0089773,0.878248,0.0541147,0.05866,False,True,with annotation,nonvirus
17159,NODE_13_length_14210_cov_30.3391_g9_i0,14210,0.999988599877,1.0,0.0,0.0,0.0,0.0,0.000308191517902,0.0,0.999670526972,1.0,0.00833638794012,0.0,0.0175552842324,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,7.98261e-05,0.899702,0.00313872,0.0970795,3.0,3.0,1.69784e-05,0.0504078,0.00422111,0.945354,1.0,1.0,0.000121031,0.936088,0.00150931,0.0622816,False,True,with annotation,nonvirus
17161,NODE_15_length_14066_cov_36.403_g10_i0,14066,0.999988787708,1.0,0.0,0.0,0.0,0.0,1.47017271335e-05,0.0,0.99550311877,1.0,0.000201314533118,0.0,0.00383426163602,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,4.23098e-07,0.962571,0.000141714,0.037287,3.0,3.0,2.14686e-07,0.148875,0.00084101,0.850284,1.0,1.0,7.44727e-06,0.961971,0.000104339,0.0379169,False,True,with annotation,nonvirus
17162,NODE_16_length_14066_cov_36.3685_g10_i1,14066,0.999988787708,1.0,0.0,0.0,0.0,0.0,1.47017271335e-05,0.0,0.99550311877,1.0,0.000201314533118,0.0,0.00383426163602,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,4.23098e-07,0.962571,0.000141714,0.037287,3.0,3.0,2.14686e-07,0.148875,0.00084101,0.850284,1.0,1.0,7.44727e-06,0.961971,0.000104339,0.0379169,False,True,with annotation,nonvirus
17163,NODE_17_length_13983_cov_27.5803_g11_i0,13983,0.999991982465,1.0,0.0,0.0,0.0,0.0,0.000152942862077,0.0,0.99173445532,1.0,0.000415993308847,0.0,0.012366957421,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,1.54394e-06,0.868743,0.000587503,0.130668,3.0,3.0,1.87188e-07,0.136997,0.00114542,0.861858,1.0,1.0,9.37202e-06,0.946387,0.000139487,0.0534643,False,True,with annotation,nonvirus
17165,NODE_19_length_13426_cov_30.0736_g9_i1,13426,0.999797004405,1.0,0.0,0.0,0.0,0.0,0.000239584471366,0.0,0.999823094038,1.0,0.0209227390793,0.0,0.0154769453308,False,296587,species,Micromonas commoda,Eukaryota,1.0,1.0,8.59556e-05,0.910336,0.00299469,0.0865828,3.0,3.0,2.59698e-05,0.0557719,0.00472055,0.939481,1.0,1.0,0.000149365,0.941067,0.00171044,0.0570733,False,True,with annotation,nonvirus
