,name,length,probability,prediction,vfam,pfam,diamond,label,score_euk_non_euk,pred_euk_non_euk,score_non_euk_virus,pred_non_euk_virus,score_virus_non_virus,pred_virus_non_virus,hybrid_probability,hybrid_prediction,tax_id,rank,tax_name,top_label,euk_label,micromonas_label,no_rank_label
178001,NODE_6973_length_2376_cov_25.7841_g5316_i0,2376,2.19197515168e-06,0.0,0.0,0.0,0.0,0.0,0.939157232538,1.0,0.772498835636,1.0,0.0650502494277,0.0,0.00143478546035,False,2830,no rank,Haptophyceae,Eukaryota,False,False,no rank
54176,NODE_15756_length_2218_cov_33.5594_g11870_i0,2218,0.00308749002982,0.0,0.0,0.0,0.0,0.0,0.0110483925545,0.0,0.988599913064,1.0,0.00543410931478,0.0,0.00584053095682,False,278955,no rank,unclassified Opitutaceae,Bacteria,True,False,no rank
20380,NODE_3359_length_2322_cov_13.6687_g2517_i0,2322,0.856037230168,1.0,0.0,0.0,0.0,0.0,0.993918832618,1.0,0.225814602913,0.0,0.0185306215225,0.0,0.922405292963,True,905079,no rank,Guillardia theta CCMP2712,Eukaryota,False,False,no rank
96724,NODE_14106_length_2488_cov_16.8052_g5407_i2,2488,0.594630345933,1.0,0.0,0.0,0.0,0.0,0.890054926661,1.0,0.842010065663,1.0,0.0377434878358,0.0,0.727498226073,True,1,no rank,root,N/A,True,False,no rank
78821,NODE_7969_length_2554_cov_32.6851_g6195_i0,2554,0.000143050401543,0.0,0.0,0.0,0.0,0.0,0.553339903934,1.0,0.166557672539,0.0,0.000794671029661,0.0,0.00889693741956,False,383630,no rank,unclassified Methylophilales,Bacteria,True,False,no rank
41026,NODE_53_length_4727_cov_196.451_g33_i0,4727,9.38017485655e-06,0.0,0.0,0.0,0.0,0.0,0.301880091078,0.0,0.268317679166,0.0,0.00507514631881,0.0,0.00168276202715,False,48479,no rank,environmental samples,Bacteria,True,False,no rank
188396,NODE_5469_length_2755_cov_18.55_g1131_i1,2755,0.134158081817,0.0,0.0,0.0,0.0,0.0,0.0193306125113,0.0,0.0314520972873,0.0,4.6972736297e-05,0.0,0.0509250222863,False,417295,no rank,unclassified Verrucomicrobia (miscellaneous),Bacteria,True,False,no rank
86922,NODE_4146_length_4152_cov_11.6763_g1841_i1,4152,0.00912774062239,0.0,0.0,0.0,0.0,0.0,0.704366464948,1.0,0.971853148536,1.0,0.0588052877787,0.0,0.0801827562207,False,131567,no rank,cellular organisms,N/A,True,False,no rank
16178,NODE_1200_length_2628_cov_199.949_g745_i0,2628,0.937416020639,1.0,0.0,0.0,0.0,0.0,0.994345462521,1.0,0.841109040816,1.0,0.433255649679,0.0,0.965461219634,True,651140,no rank,environmental samples,Archaea,True,False,no rank
167871,NODE_242_length_4697_cov_24.209_g166_i0,4697,0.227582124276,0.0,0.0,0.0,0.0,0.0,0.911381773683,1.0,0.042775843417,0.0,0.00102591758672,0.0,0.455427491574,False,62672,no rank,SAR86 cluster,Bacteria,True,False,no rank
166983,NODE_3133_length_2139_cov_34.8882_g2417_i0,2139,0.999121169362,1.0,0.0,0.0,0.0,0.0,3.70989373952e-08,0.0,0.992410627699,1.0,2.00048963443e-07,0.0,0.000192526189679,False,1169540,no rank,Vitrella brassicaformis CCMP3155,Eukaryota,False,False,no rank
155784,NODE_2108_length_2946_cov_24.3511_g1585_i0,2946,9.57441441246e-06,0.0,0.0,0.0,0.0,0.0,0.160976253046,0.0,0.0122265158344,0.0,6.21035414062e-06,0.0,0.00124147225391,False,1783257,no rank,PVC group,Bacteria,True,False,no rank
169690,NODE_2065_length_2425_cov_31.5359_g1474_i0,2425,0.975857721456,1.0,0.0,0.0,0.0,0.0,0.999885018456,1.0,0.0325055950523,0.0,0.00159133221559,0.0,0.987798317385,True,1,no rank,root,N/A,True,False,no rank
18581,NODE_1482_length_3070_cov_17.1114_g1098_i0,3070,0.820145368141,1.0,0.0,0.0,0.0,0.0,0.916995176978,1.0,0.82211570516,1.0,0.0506436165742,0.0,0.867219318861,True,905079,no rank,Guillardia theta CCMP2712,Eukaryota,False,False,no rank
14018,NODE_4419_length_2151_cov_8.47662_g3316_i0,2151,0.611030465868,1.0,0.0,0.0,0.0,0.0,0.807920731029,1.0,0.783685302903,1.0,0.204190633492,0.0,0.702612397176,True,131567,no rank,cellular organisms,N/A,True,False,no rank
85611,NODE_2809_length_4805_cov_19.2267_g1952_i0,4805,0.0560866516515,0.0,0.0,0.0,0.0,0.0,0.786834836626,1.0,0.0496484338615,0.0,0.00233905922803,0.0,0.210073633255,False,62672,no rank,SAR86 cluster,Bacteria,True,False,no rank
95389,NODE_12740_length_2608_cov_18.5374_g8844_i0,2608,0.971956001282,1.0,0.0,0.0,0.0,0.0,0.999951512445,1.0,0.37343018714,0.0,0.0874426730185,0.0,0.985854387581,True,131567,no rank,cellular organisms,N/A,True,False,no rank
24891,NODE_2949_length_3249_cov_236.784_g1922_i3,3249,0.000632409418709,0.0,0.0,0.0,0.0,0.0,0.993376401168,1.0,0.998958331291,1.0,0.844600125227,1.0,0.0250643290838,False,131567,no rank,cellular organisms,N/A,True,False,no rank
87529,NODE_4762_length_3953_cov_24.1496_g3299_i0,3953,0.562238898018,1.0,0.0,0.0,0.0,0.0,0.712380943676,1.0,0.873864440027,1.0,0.516234932766,1.0,0.632873033666,True,253244,no rank,unclassified Cryomorphaceae,Bacteria,True,False,no rank
9727,NODE_45_length_9064_cov_14.1619_g18_i1,9064,3.02668467042e-06,0.0,0.0,0.0,0.0,0.0,0.0825846453577,0.0,0.0773944495878,0.0,3.39253581663e-05,0.0,0.000499957678325,False,131567,no rank,cellular organisms,N/A,True,False,no rank
171334,NODE_3710_length_2002_cov_53.7704_g2686_i0,2002,4.1491123627e-05,0.0,0.0,0.0,0.0,0.0,0.884605425378,1.0,0.0541039494191,0.0,0.000291988728984,0.0,0.00605832262804,False,62672,no rank,SAR86 cluster,Bacteria,True,False,no rank
166710,NODE_2834_length_2217_cov_9.32979_g2182_i0,2217,0.734386697572,1.0,0.0,0.0,0.0,0.0,0.999989979254,1.0,0.0113370177355,0.0,0.00242936982747,0.0,0.85695935637,True,33634,no rank,Stramenopiles,Eukaryota,False,False,no rank
142045,NODE_1177_length_6579_cov_60.603_g860_i0,6579,0.980867686867,1.0,0.0,0.0,0.0,0.0,0.105560594723,0.0,0.0249388465642,0.0,4.26955773173e-05,0.0,0.321777836978,False,1,no rank,root,N/A,True,False,no rank
177400,NODE_6343_length_2473_cov_9.84326_g4826_i0,2473,0.22622449733,0.0,0.0,0.0,0.0,0.0,0.938696402986,1.0,0.804162121388,1.0,0.31394443136,0.0,0.460821138741,False,1,no rank,root,N/A,True,False,no rank
192829,NODE_9953_length_2136_cov_164.606_g7204_i0,2136,4.68315380663e-05,0.0,0.0,0.0,0.0,0.0,0.0443963471274,0.0,0.69323722343,1.0,0.000428502854151,0.0,0.0014419255253,False,666509,no rank,Planktomarina temperata RCA23,Bacteria,True,False,no rank
166567,NODE_2668_length_2259_cov_28.4229_g1528_i1,2259,0.762526753411,1.0,0.0,0.0,0.0,0.0,0.999659150711,1.0,0.212929456846,0.0,0.0305337694462,0.0,0.873078946436,True,280463,no rank,Emiliania huxleyi CCMP1516,Eukaryota,False,False,no rank
65588,NODE_8215_length_3013_cov_17.0615_g6057_i0,3013,0.627226803696,1.0,0.0,0.0,0.0,0.0,0.988964272962,1.0,0.318560120639,0.0,0.00138768134918,0.0,0.787594375234,True,1,no rank,root,N/A,True,False,no rank
146821,NODE_5957_length_2866_cov_177.689_g4362_i1,2866,7.72898290106e-06,0.0,0.0,0.0,0.0,0.0,0.999830171696,1.0,0.825710277897,1.0,0.507862131037,1.0,0.00277986875608,False,1,no rank,root,N/A,True,False,no rank
206581,NODE_10577_length_2063_cov_174.379_g8157_i0,2063,0.99986989183,1.0,0.0,0.0,0.0,0.0,0.000427288337577,0.0,0.124071369189,0.0,5.48196699678e-07,0.0,0.0206696091853,False,1169540,no rank,Vitrella brassicaformis CCMP3155,Eukaryota,False,False,no rank
44616,NODE_2218_length_3327_cov_66.4178_g1306_i0,3327,0.977865081313,1.0,0.0,0.0,0.0,0.0,0.991224297386,1.0,0.969908600865,1.0,0.386687366096,0.0,0.984522030309,True,197562,no rank,Pancrustacea,Eukaryota,False,False,no rank
80192,NODE_9402_length_2364_cov_16.699_g7343_i0,2364,0.997561638659,1.0,0.0,0.0,0.0,0.0,0.0155268043749,0.0,0.831743570373,1.0,0.00106745850151,0.0,0.124454587763,False,33630,no rank,Alveolata,Eukaryota,False,False,no rank
103283,NODE_10951_length_2540_cov_38.2439_g8065_i1,2540,0.0580232775552,0.0,0.0,0.0,0.0,0.0,0.137902453145,0.0,0.921073593137,1.0,0.00832769944238,0.0,0.0894513963802,False,1706432,no rank,unclassified Porticoccaceae,Bacteria,True,False,no rank
48516,NODE_6152_length_2031_cov_47.2702_g3931_i0,2031,0.00205442809957,0.0,0.0,0.0,0.0,0.0,0.685053994865,1.0,0.995508132237,1.0,0.507193343267,1.0,0.0375152525884,False,1706432,no rank,unclassified Porticoccaceae,Bacteria,True,False,no rank
188672,NODE_5742_length_2706_cov_47.8012_g4086_i0,2706,0.000280734470636,0.0,0.0,0.0,0.0,0.0,0.558074246747,1.0,0.983799800669,1.0,0.173956505214,0.0,0.0125168158186,False,1,no rank,root,N/A,True,False,no rank
905,NODE_906_length_5777_cov_61.6216_g625_i0,5777,3.29179526305e-05,0.0,0.0,0.0,0.0,0.0,0.561157741643,1.0,0.582709560098,1.0,0.00164003070904,0.0,0.00429792554119,False,655184,no rank,Candidatus Thioglobus,Bacteria,True,False,no rank
64000,NODE_6583_length_3338_cov_17.2388_g4831_i0,3338,0.014183887179,0.0,0.0,0.0,0.0,0.0,0.976912270784,1.0,0.265655592219,0.0,0.000360088268339,0.0,0.11771326787,False,1706432,no rank,unclassified Porticoccaceae,Bacteria,True,False,no rank
25130,NODE_3201_length_3118_cov_86.6347_g2329_i0,3118,0.0052309889807,0.0,0.0,0.0,0.0,0.0,0.00110927552069,0.0,0.625641401494,1.0,0.00019005366864,0.0,0.00240886031668,False,131567,no rank,cellular organisms,N/A,True,False,no rank
98212,NODE_15646_length_2370_cov_13.9875_g4396_i2,2370,0.0289066568708,0.0,0.0,0.0,0.0,0.0,0.404229011571,0.0,0.98480252517,1.0,0.0649250423385,0.0,0.108096759131,False,1706432,no rank,unclassified Porticoccaceae,Bacteria,True,False,no rank
180265,NODE_9362_length_2107_cov_15.4566_g6591_i2,2107,0.849708648326,1.0,0.0,0.0,0.0,0.0,0.999928964015,1.0,0.19941254558,0.0,0.088330400207,0.0,0.921763683617,True,1169540,no rank,Vitrella brassicaformis CCMP3155,Eukaryota,False,False,no rank
155524,NODE_1847_length_3068_cov_54.7478_g1392_i0,3068,4.51507861162e-08,0.0,0.0,0.0,0.0,0.0,0.045438152186,0.0,0.923923735933,1.0,0.0293008338333,0.0,4.5294241255e-05,False,1706432,no rank,unclassified Porticoccaceae,Bacteria,True,False,no rank
205307,NODE_9263_length_2160_cov_164.55_g7073_i0,2160,0.877037883735,1.0,0.0,0.0,0.0,0.0,0.992711787092,1.0,0.369601792937,0.0,0.145408046964,0.0,0.933084050292,True,1169540,no rank,Vitrella brassicaformis CCMP3155,Eukaryota,False,False,no rank
101119,NODE_18667_length_2171_cov_24.0525_g13000_i0,2171,0.959489703259,1.0,0.0,0.0,0.0,0.0,0.437344413032,0.0,0.999957526317,1.0,0.908055863331,1.0,0.647786586062,True,564608,no rank,Micromonas pusilla CCMP1545,Eukaryota,False,True,no rank
65282,NODE_7902_length_3072_cov_58.586_g985_i11,3072,0.938519721465,1.0,0.0,0.0,0.0,0.0,0.276589717734,0.0,0.999827003794,1.0,0.880948089796,1.0,0.509494754485,True,33213,no rank,Bilateria,Eukaryota,False,False,no rank
58577,NODE_1050_length_7069_cov_19.3024_g776_i0,7069,0.0037371725401,0.0,0.0,0.0,0.0,0.0,0.373030827908,0.0,0.0194171996846,0.0,8.12793928706e-05,0.0,0.0373373883215,False,1,no rank,root,N/A,True,False,no rank
193750,NODE_919_length_3040_cov_22.9899_g683_i0,3040,0.000246199124463,0.0,0.0,0.0,0.0,0.0,0.0265026100417,0.0,0.295963677856,0.0,0.00068928422342,0.0,0.00255439217589,False,131567,no rank,cellular organisms,N/A,True,False,no rank
32785,NODE_3757_length_2688_cov_46.0957_g2912_i0,2688,0.99950843872,1.0,0.0,0.0,0.0,0.0,0.044904812502,0.0,0.999492750581,1.0,0.0350814339425,0.0,0.211855467324,False,436017,no rank,Ostreococcus lucimarinus CCE9901,Eukaryota,False,False,no rank
112664,NODE_2086_length_4915_cov_358.064_g1462_i1,4915,0.000213244990699,0.0,0.0,0.0,0.0,0.0,0.99697887794,1.0,0.602926276371,1.0,0.0825692408253,0.0,0.0145808350774,False,33634,no rank,Stramenopiles,Eukaryota,False,False,no rank
19368,NODE_2300_length_2654_cov_94.9584_g1711_i0,2654,0.999808570074,1.0,0.0,0.0,0.0,0.0,0.00325892937679,0.0,0.999997955905,1.0,0.40119534056,0.0,0.0570815690059,False,436017,no rank,Ostreococcus lucimarinus CCE9901,Eukaryota,False,False,no rank
57724,NODE_187_length_12858_cov_161.473_g154_i0,12858,0.761462007339,1.0,0.0,0.0,0.0,0.0,0.113573157666,0.0,0.650581278862,1.0,0.00175864175211,0.0,0.294077616653,False,926562,no rank,Owenweeksia hongkongensis DSM 17368,Bacteria,True,False,no rank
167115,NODE_3275_length_2110_cov_17.6462_g2532_i1,2110,0.587231051709,1.0,0.0,0.0,0.0,0.0,0.99988374597,1.0,0.0359251422392,0.0,0.0092185169597,0.0,0.766265478625,True,1169540,no rank,Vitrella brassicaformis CCMP3155,Eukaryota,False,False,no rank
75847,NODE_4918_length_3119_cov_27.5979_g3809_i1,3119,3.07582732758e-06,0.0,0.0,0.0,0.0,0.0,0.0597115897537,0.0,0.608003711341,1.0,0.000514685912246,0.0,0.00042855867689,False,1706432,no rank,unclassified Porticoccaceae,Bacteria,True,False,no rank
70238,NODE_13046_length_2054_cov_6.78389_g10290_i0,2054,0.11775095534,0.0,0.0,0.0,0.0,0.0,0.926332594328,1.0,0.263043462337,0.0,0.0598893063657,0.0,0.330267388558,False,312017,no rank,Tetrahymena thermophila SB210,Eukaryota,False,False,no rank
196157,NODE_3415_length_2006_cov_15.121_g2527_i0,2006,0.295553864702,0.0,0.0,0.0,0.0,0.0,0.615967467054,1.0,0.0293592884231,0.0,0.00434959832606,0.0,0.426675011477,False,62672,no rank,SAR86 cluster,Bacteria,True,False,no rank
200415,NODE_4271_length_2905_cov_26.2789_g3199_i0,2905,0.999726351553,1.0,0.0,0.0,0.0,0.0,0.745562616736,1.0,0.145546775583,0.0,0.000298761940218,0.0,0.863341528414,True,1706432,no rank,unclassified Porticoccaceae,Bacteria,True,False,no rank
