,name,length,probability,prediction,vfam,pfam,diamond,label,score_euk_non_euk,pred_euk_non_euk,score_non_euk_virus,pred_non_euk_virus,score_virus_non_virus,pred_virus_non_virus,hybrid_probability,hybrid_prediction,tax_id,rank,tax_name,top_label,non_euk_label,micromonas_label,annotation_label
1187,NODE_1190_length_4867_cov_31.1845_g863_i0,4867,0.00341121405971,0.0,1.0,0.0,0.0,1.0,0.0531145204501,0.0,0.747972908709,1.0,0.000995332818622,0.0,0.0134604977224,False,286,genus,Pseudomonas,Bacteria,True,False,with annotation
1385,NODE_1388_length_4479_cov_77.7475_g1017_i0,4479,0.995233505872,1.0,0.0,1.0,1.0,1.0,0.974094122286,1.0,0.0198690862096,0.0,0.000539956115952,0.0,0.984607083243,True,186616,no rank,environmental samples,Virus,True,False,with annotation
1698,NODE_1702_length_3955_cov_32.4023_g1269_i0,3955,0.0943403617119,0.0,0.0,1.0,1.0,1.0,0.792640138715,1.0,0.633440833668,1.0,0.0197172483287,0.0,0.273455585779,False,196896,no rank,unclassified Myoviridae,Virus,True,False,with annotation
1728,NODE_1732_length_3910_cov_62.4519_g1295_i0,3910,0.985221487346,1.0,0.0,1.0,1.0,1.0,0.960621465717,1.0,0.178853747949,0.0,0.000591458983797,0.0,0.972843722923,True,196896,no rank,unclassified Myoviridae,Virus,True,False,with annotation
1748,NODE_1752_length_3882_cov_14.5733_g1313_i0,3882,0.355353312971,0.0,0.0,1.0,1.0,1.0,0.603146646435,1.0,0.3602153331,0.0,0.0789266410505,0.0,0.462958053195,False,439488,no rank,ssRNA viruses,Virus,True,False,with annotation
2255,NODE_2259_length_3307_cov_131.834_g1713_i0,3307,0.816841407581,1.0,0.0,1.0,1.0,1.0,0.993448090779,1.0,0.00596113064647,0.0,4.88267939834e-05,0.0,0.900827140372,True,10239,superkingdom,Viruses,Virus,True,False,with annotation
2363,NODE_2367_length_3211_cov_47.9198_g1806_i0,3211,0.985778060829,1.0,0.0,1.0,1.0,1.0,0.614722198357,1.0,0.173717744374,0.0,0.000509540445043,0.0,0.778446951722,True,186616,no rank,environmental samples,Virus,True,False,with annotation
2376,NODE_2380_length_3203_cov_91.3259_g1816_i0,3203,0.630648480517,1.0,0.0,0.0,1.0,1.0,0.0121079770668,0.0,0.0855594847426,0.0,0.000180509616856,0.0,0.08738350725,False,28883,order,Caudovirales,Virus,True,False,with annotation
2396,NODE_2400_length_3183_cov_23.6864_g1833_i0,3183,0.966849941183,1.0,0.0,1.0,1.0,1.0,0.965072935749,1.0,0.836127979906,1.0,0.0188675790501,0.0,0.965961029838,True,196896,no rank,unclassified Myoviridae,Virus,True,False,with annotation
2458,NODE_2463_length_3144_cov_14.2376_g1889_i0,3144,0.983486075646,1.0,0.0,1.0,0.0,1.0,0.385120473262,0.0,0.354424513082,0.0,0.000637584228396,0.0,0.61543531171,True,1,no rank,root,N/A,True,False,no annotation
